Number;IndexGroup;IndexOffset;Description;Type;Length;Writable;Unit;Context;Task
  33;0x20300;0x01086;VOLC[1].alternative model;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  34;0x20300;0x01087;VOLC[1].tool length;REAL64;8;false;mm;PLATFORM;TASK_IPO
  35;0x20300;0x01088;VOLC[1].tool effective;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  36;0x20300;0x01089;VOLC[1].correction X;REAL64;8;false;µm;PLATFORM;TASK_IPO
  37;0x20300;0x0108a;VOLC[1].correction Y;REAL64;8;false;µm;PLATFORM;TASK_IPO
  38;0x20300;0x0108b;VOLC[1].correction Z;REAL64;8;false;µm;PLATFORM;TASK_IPO
  39;0x20300;0x0108c;VOLC[1].correction A;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  40;0x20300;0x0108d;VOLC[1].correction B;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  41;0x20300;0x0108e;VOLC[1].correction C;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  42;0x20300;0x0108f;VOLC[1].solver.state;UNS32;4;false;-;PLATFORM;TASK_IPO
  43;0x20300;0x01090;VOLC[1].solver.performed iterations;SGN32;4;false;-;PLATFORM;TASK_IPO
  44;0x20300;0x01091;VOLC[1].solver.initial precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  45;0x20300;0x01092;VOLC[1].solver.final precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  46;0x20300;0x010c0;VOLC[2].number of records;SGN32;4;false;-;PLATFORM;TASK_IPO
  47;0x20300;0x010c1;VOLC[2].enabled;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  48;0x20300;0x010c3;VOLC[2].error state;UNS32;4;false;-;PLATFORM;TASK_IPO
  49;0x20300;0x010c4;VOLC[2].in update;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  50;0x20300;0x010c5;VOLC[2].last update;STRING;25;false;-;PLATFORM;TASK_IPO
  51;0x20300;0x010c6;VOLC[2].alternative model;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  52;0x20300;0x010c7;VOLC[2].tool length;REAL64;8;false;mm;PLATFORM;TASK_IPO
  53;0x20300;0x010c8;VOLC[2].tool effective;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  54;0x20300;0x010c9;VOLC[2].correction X;REAL64;8;false;µm;PLATFORM;TASK_IPO
  55;0x20300;0x010ca;VOLC[2].correction Y;REAL64;8;false;µm;PLATFORM;TASK_IPO
  56;0x20300;0x010cb;VOLC[2].correction Z;REAL64;8;false;µm;PLATFORM;TASK_IPO
  57;0x20300;0x010cc;VOLC[2].correction A;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  58;0x20300;0x010cd;VOLC[2].correction B;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  59;0x20300;0x010ce;VOLC[2].correction C;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  60;0x20300;0x010cf;VOLC[2].solver.state;UNS32;4;false;-;PLATFORM;TASK_IPO
  61;0x20300;0x010d0;VOLC[2].solver.performed iterations;SGN32;4;false;-;PLATFORM;TASK_IPO
  62;0x20300;0x010d1;VOLC[2].solver.initial precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  63;0x20300;0x010d2;VOLC[2].solver.final precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  64;0x20300;0x01100;VOLC[3].number of records;SGN32;4;false;-;PLATFORM;TASK_IPO
  65;0x20300;0x01101;VOLC[3].enabled;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  66;0x20300;0x01103;VOLC[3].error state;UNS32;4;false;-;PLATFORM;TASK_IPO
  67;0x20300;0x01104;VOLC[3].in update;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  68;0x20300;0x01105;VOLC[3].last update;STRING;25;false;-;PLATFORM;TASK_IPO
  69;0x20300;0x01106;VOLC[3].alternative model;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  70;0x20300;0x01107;VOLC[3].tool length;REAL64;8;false;mm;PLATFORM;TASK_IPO
  71;0x20300;0x01108;VOLC[3].tool effective;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  72;0x20300;0x01109;VOLC[3].correction X;REAL64;8;false;µm;PLATFORM;TASK_IPO
  73;0x20300;0x0110a;VOLC[3].correction Y;REAL64;8;false;µm;PLATFORM;TASK_IPO
  74;0x20300;0x0110b;VOLC[3].correction Z;REAL64;8;false;µm;PLATFORM;TASK_IPO
  75;0x20300;0x0110c;VOLC[3].correction A;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  76;0x20300;0x0110d;VOLC[3].correction B;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  77;0x20300;0x0110e;VOLC[3].correction C;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  78;0x20300;0x0110f;VOLC[3].solver.state;UNS32;4;false;-;PLATFORM;TASK_IPO
  79;0x20300;0x01110;VOLC[3].solver.performed iterations;SGN32;4;false;-;PLATFORM;TASK_IPO
  80;0x20300;0x01111;VOLC[3].solver.initial precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  81;0x20300;0x01112;VOLC[3].solver.final precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  82;0x20300;0x01140;VOLC[4].number of records;SGN32;4;false;-;PLATFORM;TASK_IPO
  83;0x20300;0x01141;VOLC[4].enabled;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  84;0x20300;0x01143;VOLC[4].error state;UNS32;4;false;-;PLATFORM;TASK_IPO
  85;0x20300;0x01144;VOLC[4].in update;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  86;0x20300;0x01145;VOLC[4].last update;STRING;25;false;-;PLATFORM;TASK_IPO
  87;0x20300;0x01146;VOLC[4].alternative model;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  88;0x20300;0x01147;VOLC[4].tool length;REAL64;8;false;mm;PLATFORM;TASK_IPO
  89;0x20300;0x01148;VOLC[4].tool effective;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  90;0x20300;0x01149;VOLC[4].correction X;REAL64;8;false;µm;PLATFORM;TASK_IPO
  91;0x20300;0x0114a;VOLC[4].correction Y;REAL64;8;false;µm;PLATFORM;TASK_IPO
  92;0x20300;0x0114b;VOLC[4].correction Z;REAL64;8;false;µm;PLATFORM;TASK_IPO
  93;0x20300;0x0114c;VOLC[4].correction A;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  94;0x20300;0x0114d;VOLC[4].correction B;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  95;0x20300;0x0114e;VOLC[4].correction C;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  96;0x20300;0x0114f;VOLC[4].solver.state;UNS32;4;false;-;PLATFORM;TASK_IPO
  97;0x20300;0x01150;VOLC[4].solver.performed iterations;SGN32;4;false;-;PLATFORM;TASK_IPO
  98;0x20300;0x01151;VOLC[4].solver.initial precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  99;0x20300;0x01152;VOLC[4].solver.final precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
 100;0x20300;0x10000;POS-CTRL: axis elements;UNS32;4;false;-;AXIS;TASK_IPO
 101;0x20300;0x10001;kv;SGN32;4;false;0.01/s;AXIS;TASK_IPO
 102;0x20300;0x10002;negative SW limit switch;SGN32;4;false;Incr.;AXIS;TASK_IPO
 103;0x20300;0x10003;positive SW limit switch;SGN32;4;false;Incr.;AXIS;TASK_IPO
 104;0x20300;0x10004;axis type;UNS16;2;false;-;AXIS;TASK_IPO
 105;0x20300;0x10005;configure SAI;BOOLEAN;1;false;-;AXIS;TASK_IPO
 106;0x20300;0x10006;internal tracking;BOOLEAN;1;false;-;AXIS;TASK_IPO
 107;0x20300;0x10007;act. dynamic kv;REAL64;8;false;0.01/s;AXIS;TASK_IPO
 108;0x20300;0x10008;sollw_absolut;SGN32;4;false;Incr.;AXIS;TASK_IPO
 109;0x20300;0x10009;rel_sollw;SGN32;4;false;Incr.;AXIS;TASK_IPO
 110;0x20300;0x1000a;dig cmd pos high_res;SGN32;4;false;Incr.;AXIS;TASK_IPO
 111;0x20300;0x1000b;dig act pos;SGN32;4;false;Incr.;AXIS;TASK_IPO
 112;0x20300;0x1000c;dig cmd vel;SGN32;4;false;Incr./tick;AXIS;TASK_IPO
 113;0x20300;0x1000d;dig act vel;SGN32;4;false;Incr./tick;AXIS;TASK_IPO
 114;0x20300;0x1000e;position lag;SGN32;4;false;Incr.;AXIS;TASK_IPO
 115;0x20300;0x1000f;absolute position lag;SGN32;4;false;Incr.;AXIS;TASK_IPO
 116;0x20300;0x10010;max. position lag;SGN32;4;false;Incr.;AXIS;TASK_IPO
 117;0x20300;0x10011;gantry_monitoring.pos_offset;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 118;0x20300;0x10012;in position;BOOLEAN;1;false;-;AXIS;TASK_IPO
 119;0x20300;0x10013;in window;BOOLEAN;1;false;-;AXIS;TASK_IPO
 120;0x20300;0x10014;homing done;BOOLEAN;1;false;-;AXIS;TASK_IPO
 121;0x20300;0x10015;is moved;BOOLEAN;1;false;-;AXIS;TASK_IPO
 122;0x20300;0x10016;is moving;BOOLEAN;1;false;-;AXIS;TASK_IPO
 123;0x20300;0x10017;is moving forward;BOOLEAN;1;false;-;AXIS;TASK_IPO
 124;0x20300;0x10018;cmd_velocity;SGN64;8;false;0.01 nm/tick;AXIS;TASK_IPO
 125;0x20300;0x10019;sollwert;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 126;0x20300;0x1001a;istw_absolut;SGN32;4;false;Incr.;AXIS;TASK_IPO
 127;0x20300;0x1001b;mod_istw_absolut;SGN32;4;false;Incr.;AXIS;TASK_IPO
 128;0x20300;0x1001c;LSEC::epsilon;SGN32;4;false;Incr.;AXIS;TASK_IPO
 129;0x20300;0x1001d;LSEC::sum epsilon;SGN32;4;false;Incr.;AXIS;TASK_IPO
 130;0x20300;0x1001e;axis coupling offset;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 131;0x20300;0x1001f;velocity feedforward;REAL64;8;false;0.1 µm/s;AXIS;TASK_IPO
 132;0x20300;0x10020;acceleration feedforward;REAL64;8;false;0.1 m/s²;AXIS;TASK_IPO
 133;0x20300;0x10021;encoder resolution;REAL64;8;false;Incr./0.1 µm;AXIS;TASK_IPO
 134;0x20300;0x10023;rpf_durchfuehren;BOOLEAN;1;false;-;AXIS;TASK_IPO
 135;0x20300;0x10024;conf_act_pos;BOOLEAN;1;false;-;AXIS;TASK_IPO
 136;0x20300;0x10025;drive_modulo_range;UNS32;4;false;Incr.;AXIS;TASK_IPO
 137;0x20300;0x10026;achs_steuer.steuer;UNS32;4;false;-;AXIS;TASK_IPO
 138;0x20300;0x10027;mode_act_pos;UNS16;2;false;-;AXIS;TASK_IPO
 139;0x20300;0x10028;istw_rel;SGN32;4;false;Incr.;AXIS;TASK_IPO
 140;0x20300;0x10029;vorst_norm;REAL64;8;false;-;AXIS;TASK_IPO
 141;0x20300;0x1002a;delta_vorst;REAL64;8;false;-;AXIS;TASK_IPO
 142;0x20300;0x1002b;lr_steuer;UNS32;4;false;-;AXIS;TASK_IPO
 143;0x20300;0x1002c;ax_coupling.f_active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 144;0x20300;0x1002d;kw_nr;SGN32;4;false;-;AXIS;TASK_IPO
 145;0x20300;0x1002e;m_sollw_absolut;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 146;0x20300;0x10030;kvt;REAL64;8;false;-;AXIS;TASK_IPO
 147;0x20300;0x10031;velocity command;SGN32;4;false;-;AXIS;TASK_IPO
 148;0x20300;0x10032;velocity_output_mode;BOOLEAN;1;false;-;AXIS;TASK_IPO
 149;0x20300;0x10033;velocity_command_control;BOOLEAN;1;false;-;AXIS;TASK_IPO
 150;0x20300;0x10034;CROSSC::delta_offset;SGN32;4;false;Incr.;AXIS;TASK_IPO
 151;0x20300;0x10035;CROSSC::actual_offset;SGN32;4;false;Incr.;AXIS;TASK_IPO
 152;0x20300;0x10036;CROSSC::end_offset;SGN32;4;false;Incr.;AXIS;TASK_IPO
 153;0x20300;0x10037;act_gantry_diff;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 154;0x20300;0x10038;ssfk activated;BOOLEAN;1;false;-;AXIS;TASK_IPO
 155;0x20300;0x10039;revolution monitoring;SGN32;4;false;-;AXIS;TASK_IPO
 156;0x20300;0x1003a;solldrehzahl;SGN32;4;false;Incr./tick;AXIS;TASK_IPO
 157;0x20300;0x1003b;dz_istw;SGN32;4;false;Incr./tick;AXIS;TASK_IPO
 158;0x20300;0x1003c;coll_check active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 159;0x20300;0x1003d;coll_check velocity;REAL64;8;false;-;AXIS;TASK_IPO
 160;0x20300;0x1003e;coll_check brake_dist;REAL64;8;false;-;AXIS;TASK_IPO
 161;0x20300;0x1003f;v_conv_factor;REAL64;8;false;-;AXIS;TASK_IPO
 162;0x20300;0x10040;coll_check coll_offset;UNS64;8;false;0.01 nm;AXIS;TASK_IPO
 163;0x20300;0x10041;TEMPC::activated;BOOLEAN;1;true;-;AXIS;TASK_IPO
 164;0x20300;0x10042;TEMPC::actual_offset;SGN32;4;false;Incr.;AXIS;TASK_IPO
 165;0x20300;0x10043;TEMPC::coefficient;REAL64;8;true;µm/m;AXIS;TASK_IPO
 166;0x20300;0x10044;TEMPC::offset_0;SGN32;4;true;0.1 µm;AXIS;TASK_IPO
 167;0x20300;0x10045;TEMPC::position_0;SGN32;4;true;0.1 µm;AXIS;TASK_IPO
 168;0x20300;0x10046;restored_ref_pos_offset;SGN64;8;true;0.01 nm;AXIS;TASK_IPO
 169;0x20300;0x10047;reference_cam;UNS16;2;false;-;AXIS;TASK_IPO
 170;0x20300;0x10048;coll_check deceleration;REAL64;8;false;mm/s²;AXIS;TASK_IPO
 171;0x20300;0x10049;lr_to_ino_interface;UNS32;4;false;-;AXIS;TASK_IPO
 172;0x20300;0x1004a;axis mode;UNS32;4;false;-;AXIS;TASK_IPO
 173;0x20300;0x1004b;gantry master axis;UNS16;2;false;-;AXIS;TASK_IPO
 174;0x20300;0x1004c;SERCOS: master control word;UNS16;2;false;-;AXIS;TASK_IPO
 175;0x20300;0x1004d;SERCOS: drive state;UNS16;2;false;-;AXIS;TASK_IPO
 176;0x20300;0x1004e;homing_type;UNS16;2;false;-;AXIS;TASK_IPO
 177;0x20300;0x1004f;CROSSC::f_is_active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 178;0x20300;0x10050;CC2::f_is_active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 179;0x20300;0x10051;CC2::delta_offset;SGN32;4;false;Incr.;AXIS;TASK_IPO
 180;0x20300;0x10052;CC2::correction;SGN32;4;false;Incr.;AXIS;TASK_IPO
 181;0x20300;0x10053;CC2::end_correction;SGN32;4;false;Incr.;AXIS;TASK_IPO
 182;0x20300;0x10054;encoder_overflow;BOOLEAN;1;false;-;AXIS;TASK_IPO
 183;0x20300;0x10055;mode_cmd_pos;UNS16;2;false;-;AXIS;TASK_IPO
 184;0x20300;0x10056;ino_to_lr;UNS32;4;false;-;AXIS;TASK_IPO
 185;0x20300;0x10057;bus_data_valid;BOOLEAN;1;false;-;AXIS;TASK_IPO
 186;0x20300;0x10058;dist_to_ref_pos;SGN32;4;false;Incr.;AXIS;TASK_IPO
 187;0x20300;0x10059;delay_index;UNS16;2;false;-;AXIS;TASK_IPO
 188;0x20300;0x1005a;zero_pulse_value;SGN32;4;false;Incr.;AXIS;TASK_IPO
 189;0x20300;0x1005b;f_cnc_homing_shift_position;BOOLEAN;1;false;-;AXIS;TASK_IPO
 190;0x20300;0x1005c;m_messwert;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 191;0x20300;0x1005d;Slave_live_sign_activ;BOOLEAN;1;false;-;AXIS;TASK_IPO
 192;0x20300;0x1005e;Drive position lag;SGN32;4;false;Incr.;AXIS;TASK_IPO
 193;0x20300;0x1005f;lr_fehler;UNS32;4;false;-;AXIS;TASK_IPO
 194;0x20300;0x10060;IPO-LR offset;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 195;0x20300;0x10061;ext_latch_value;SGN32;4;false;Incr.;AXIS;TASK_IPO
 196;0x20300;0x10062;latch state;UNS16;2;false;-;AXIS;TASK_IPO
 197;0x20300;0x10063;vofi.est_err;REAL64;8;false;-;AXIS;TASK_IPO
 198;0x20300;0x10064;vofi.w1f;REAL64;8;false;-;AXIS;TASK_IPO
 199;0x20300;0x10065;vofi.w2f;REAL64;8;false;-;AXIS;TASK_IPO
 200;0x20300;0x10066;vofi.w3f;REAL64;8;false;-;AXIS;TASK_IPO
 201;0x20300;0x10067;vofi.w4f;REAL64;8;false;-;AXIS;TASK_IPO
 202;0x20300;0x10068;vofi.x1f;REAL64;8;false;-;AXIS;TASK_IPO
 203;0x20300;0x10069;vofi.x2f;REAL64;8;false;-;AXIS;TASK_IPO
 204;0x20300;0x1006a;vofi.x3f;REAL64;8;false;-;AXIS;TASK_IPO
 205;0x20300;0x1006b;vofi.x4f;REAL64;8;false;-;AXIS;TASK_IPO
 206;0x20300;0x1006c;vofi.P11;REAL64;8;false;-;AXIS;TASK_IPO
 207;0x20300;0x1006d;vofi.P12;REAL64;8;false;-;AXIS;TASK_IPO
 208;0x20300;0x1006e;vofi.P21;REAL64;8;false;-;AXIS;TASK_IPO
 209;0x20300;0x1006f;vofi.P22;REAL64;8;false;-;AXIS;TASK_IPO
 210;0x20300;0x10070;vofi.cv_dyn;REAL64;8;false;-;AXIS;TASK_IPO
 211;0x20300;0x10071;vofi.ca_dyn;REAL64;8;false;-;AXIS;TASK_IPO
 212;0x20300;0x10072;vofi.cv_stat;REAL64;8;false;-;AXIS;TASK_IPO
 213;0x20300;0x10073;vofi.ca_stat;REAL64;8;false;-;AXIS;TASK_IPO
 214;0x20300;0x10074;vofi.cv_out;REAL64;8;false;-;AXIS;TASK_IPO
 215;0x20300;0x10075;vofi.ca_out;REAL64;8;false;-;AXIS;TASK_IPO
 216;0x20300;0x10076;vofi.state;UNS16;2;false;-;AXIS;TASK_IPO
 217;0x20300;0x10077;vofi.pos_lag;REAL64;8;false;-;AXIS;TASK_IPO
 218;0x20300;0x10078;vofi.summ_pos_lag;REAL64;8;false;-;AXIS;TASK_IPO
 219;0x20300;0x10079;vofi.state_2;UNS16;2;false;-;AXIS;TASK_IPO
 220;0x20300;0x1007a;vofi.delta_cv_dyn;REAL64;8;false;-;AXIS;TASK_IPO
 221;0x20300;0x1007b;vofi.delta_ca_dyn;REAL64;8;false;-;AXIS;TASK_IPO
 222;0x20300;0x1007c;sercos_phase;UNS16;2;false;-;AXIS;TASK_IPO
 223;0x20300;0x1007f;pos. lag monitoring disabled;BOOLEAN;1;false;-;AXIS;TASK_IPO
 224;0x20300;0x10080;achs_status.status;UNS32;4;false;-;AXIS;TASK_IPO
 225;0x20300;0x10081;lr_info;UNS32;4;false;-;AXIS;TASK_IPO
 226;0x20300;0x10082;zeit_ueberw;BOOLEAN;1;false;-;AXIS;TASK_IPO
 227;0x20300;0x10083;ueberwachung_still;BOOLEAN;1;false;-;AXIS;TASK_IPO
 228;0x20300;0x10084;homing active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 229;0x20300;0x10085;state of homing;UNS16;2;false;-;AXIS;TASK_IPO
 230;0x20300;0x10086;abort homing;BOOLEAN;1;false;-;AXIS;TASK_IPO
 231;0x20300;0x10087;jerk feedforward;REAL64;8;false;-;AXIS;TASK_IPO
 232;0x20300;0x10088;HLI::add_cmd_value;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 233;0x20300;0x10089;wr_cmd_pos;BOOLEAN;1;true;-;AXIS;TASK_IPO
 234;0x20300;0x1008a;bus_data_valid_edge;BOOLEAN;1;false;-;AXIS;TASK_IPO
 235;0x20300;0x1008b;nfb.state;UNS32;4;false;-;AXIS;TASK_IPO
 236;0x20300;0x1008c;antr.operation_mode;UNS16;2;false;-;AXIS;TASK_IPO
 237;0x20300;0x1008d;order_zstd;UNS32;4;false;-;AXIS;TASK_IPO
 238;0x20300;0x1008e;trafo.info;UNS16;2;false;-;AXIS;TASK_IPO
 239;0x20300;0x1008f;trafo.io.out_val;SGN32;4;false;Incr.;AXIS;TASK_IPO
 240;0x20300;0x10090;trafo.io.in_val[0];SGN32;4;false;Incr.;AXIS;TASK_IPO
 241;0x20300;0x10091;trafo.io.in_val[1];SGN32;4;false;Incr.;AXIS;TASK_IPO
 242;0x20300;0x10092;zeropulse;UNS16;2;false;-;AXIS;TASK_IPO
 243;0x20300;0x10093;BC::actual backlash;SGN32;4;false;Incr.;AXIS;TASK_IPO
 244;0x20300;0x10094;BC::sum backlash;SGN32;4;false;Incr.;AXIS;TASK_IPO
 245;0x20300;0x10095;BC::delta backlash;SGN32;4;false;Incr.;AXIS;TASK_IPO
 246;0x20300;0x10096;meas_command_remain_active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 247;0x20300;0x10097;nfb_active;BOOLEAN;1;false;-;AXIS;TASK_IPO
 248;0x20300;0x10098;org_mds.incr_modudiff;SGN32;4;false;Incr.;AXIS;TASK_IPO
 249;0x20300;0x10099;incr_moduloo;SGN32;4;false;Incr.;AXIS;TASK_IPO
 250;0x20300;0x1009a;incr_modulou;SGN32;4;false;Incr.;AXIS;TASK_IPO
 251;0x20300;0x1009b;set_refpos.set_time;UNS32;4;false;-;AXIS;TASK_IPO
 252;0x20300;0x1009c;moved_distance_mm;UNS32;4;false;-;AXIS;TASK_IPO
 253;0x20300;0x1009d;vorsteuerung;UNS16;2;false;-;AXIS;TASK_IPO
 254;0x20300;0x1009e;dig_drv.add_cmd_vel;SGN32;4;false;-;AXIS;TASK_IPO
 255;0x20300;0x1009f;dig_drv.add_cmd_torque;SGN16;2;false;-;AXIS;TASK_IPO
 256;0x20300;0x100a0;vel_feedforward_scaling;REAL64;8;false;-;AXIS;TASK_IPO
 257;0x20300;0x100a1;torq_feedforward_scaling;REAL64;8;false;-;AXIS;TASK_IPO
 258;0x20300;0x100a2;feedforward.acc_delayed;REAL64;8;false;-;AXIS;TASK_IPO
 259;0x20300;0x100a3;feedforward.act_acc_ff;REAL64;8;false;-;AXIS;TASK_IPO
 260;0x20300;0x100a4;feedforward.vel_delayed;REAL64;8;false;-;AXIS;TASK_IPO
 261;0x20300;0x100a5;feedforward.act_vel_ff;REAL64;8;false;-;AXIS;TASK_IPO
 262;0x20300;0x100a6;reset_zstd;UNS16;2;false;-;AXIS;TASK_IPO
 263;0x20300;0x100a7;ident_rw.state;UNS32;4;false;-;AXIS;TASK_IPO
 264;0x20300;0x100a8;ident_rw.act_ident;UNS16;2;false;-;AXIS;TASK_IPO
 265;0x20300;0x100a9;ident_rw.is_command;BOOLEAN;1;false;-;AXIS;TASK_IPO
 266;0x20300;0x100aa;rel_sollw_gantry_diff;SGN32;4;false;Incr.;AXIS;TASK_IPO
 267;0x20300;0x100ab;verfahrrichtung;SGN32;4;false;-;AXIS;TASK_IPO
 268;0x20300;0x100ac;pos_control_deadband;SGN32;4;false;Incr.;AXIS;TASK_IPO
 269;0x20300;0x100ad;load;REAL64;8;false;-;AXIS;TASK_IPO
 270;0x20300;0x100ae;messf_aktiv;BOOLEAN;1;false;-;AXIS;TASK_IPO
 271;0x20300;0x100af;BC::conf. backlash;SGN32;4;false;Incr.;AXIS;TASK_IPO
 272;0x20300;0x100b0;outp_cmd_positipon[0];SGN32;4;false;Incr.;AXIS;TASK_IPO
 273;0x20300;0x100b1;set_refpos.position_offset;SGN32;4;false;Incr.;AXIS;TASK_IPO
 274;0x20300;0x100b2;output_proc_data.write;NONE;204;true;-;AXIS;TASK_IPO
 275;0x20300;0x100b3;mod_zaehler_absolut;SGN32;4;false;rev.;AXIS;TASK_IPO
 276;0x20300;0x100b4;pos;SGN64;8;false;0.01 nm;AXIS;TASK_IPO
 277;0x20300;0x100b5;retain.act_pos_ipo;SGN32;4;false;Incr.;AXIS;TASK_IPO
 278;0x20300;0x100b6;retain.act_position;SGN32;4;false;Incr.;AXIS;TASK_IPO
 279;0x20300;0x100b7;retain.dig_drv_act_pos;SGN32;4;false;Incr.;AXIS;TASK_IPO
